n_individuals,n_tissues,n_tests,model,avg_secs,avg_hours,avg_days,avg_years
250,14,100,FastGxE,0.148592751026154,4.12757641739316e-05,1.71982350724715e-06,4.71184522533465e-09
250,14,100,LM-GxE,0.955972480773926,0.000265547911326091,1.10644963052538e-05,3.03136885075446e-08
250,14,100,LMM-GxE,39.3311319351196,0.0109253144264221,0.000455221434434255,1.24718201214864e-06
250,14,100,TbT,0.149212312698364,4.14478646384345e-05,1.72699435993477e-06,4.73149139708157e-09
250,14,1000,FastGxE,0.174069609642029,4.8352669345008e-05,2.014694556042e-06,5.51971111244384e-09
250,14,1000,LM-GxE,7.71621580123901,0.00214339327812195,8.93080532550812e-05,2.44679597959127e-07
250,14,1000,LMM-GxE,336.514093780518,0.0934761371612549,0.00389483904838562,1.06707919133853e-05
250,14,1000,TbT,0.17752110004425,4.93114166789585e-05,2.05464236162327e-06,5.62915715513225e-09
250,14,10000,FastGxE,0.347480580806732,9.65223835574256e-05,4.0217659815594e-06,1.10185369357792e-08
250,14,10000,LM-GxE,80.7035320043564,0.0224176477789879,0.000934068657457829,2.55909221221323e-06
250,14,10000,LMM-GxE,3561.89534268379,0.98941537296772,0.0412256405403217,0.000112946960384443
250,14,10000,TbT,0.370877921581268,0.000103021644883686,4.29256853682024e-06,1.1760461744713e-08
250,14,1e+05,FastGxE,0.75950775384903,0.000210974376069175,8.79059900288229e-06,2.4083832884609e-08
250,14,1e+05,LM-GxE,952.816420555114,0.264671227931976,0.011027967830499,3.02136104945178e-05
250,14,1e+05,LMM-GxE,33095.9751574516,9.19332643262545,0.38305526802606,0.00104946648774263
250,14,1e+05,TbT,0.815078001022339,0.000226410555839539,9.43377315998078e-06,2.5845953862961e-08
250,14,1e+06,FastGxE,1.80375519990921,0.000501043111085892,2.08767962952455e-05,5.71967021787548e-08
250,14,1e+06,LM-GxE,6944.46923704147,1.92901923251152,0.0803758013546467,0.000220207674944237
250,14,1e+06,LMM-GxE,302981.262032032,84.1614616755645,3.50672756981519,0.00960747279401421
250,14,1e+06,TbT,1.8309005188942,0.00050858347747061,2.11909782279421e-05,5.80574745971016e-08
250,14,1e+07,FastGxE,6.12350470066071,0.00170097352796131,7.08738969983878e-05,1.94175060269556e-07
250,14,1e+07,LM-GxE,69043.6103530884,19.1787806536357,0.799115860568152,0.00218935852210453
250,14,1e+07,LMM-GxE,3068118.02744494,852.255007623593,35.5106253176497,0.097289384431917
250,14,1e+07,TbT,6.16990958929062,0.00171386377480295,7.14109906167896e-05,1.9564654963504e-07
250,50,100,FastGxE,0.722469525337219,0.000200685979260339,8.36191580251411e-06,2.29093583630524e-08
250,50,100,LM-GxE,14.4685466766357,0.00401904074350993,0.00016746003097958,4.58794605423508e-07
250,50,100,LMM-GxE,608.48836183548,0.1690245449543,0.00704268937309583,1.92950393783447e-05
250,50,100,TbT,0.751329092979431,0.00020870252582762,8.69593857615082e-06,2.38244892497283e-08
250,50,1000,FastGxE,0.691287422180176,0.000192024283938938,8.00101183078907e-06,2.19205803583262e-08
250,50,1000,LM-GxE,98.2944494247437,0.0273040137290955,0.00113766723871231,3.11689654441729e-06
250,50,1000,LMM-GxE,4922.12285757065,1.36725634932518,0.0569690145552158,0.000156079491932098
