sampleID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40
GTEX-111CU	33.0697776228998	-3.63402318535242	-1.03384756266029	8.82237683004983	-5.13622730965197	-1.14668761576748	8.21242439657948	3.46062946626967	-7.24963629753173	2.99660932129574	1.77739850516944	-0.302946134231109	-2.53468512325434	-1.35627909516927	3.0399773453674	-1.43764955970924	-0.590884507528957	-5.64548051853697	-4.03345647607902	0.531236237553481	2.28490046806621	-2.90826259568407	2.14346214343514	-1.94615011984425	2.10648787562009	-0.440514577799507	-1.61076369298994	4.05093731406223	4.7675902138584	1.7045776083835	0.204517660749208	1.85709877658336	4.36039266269486	2.37864391453513	1.05501787658747	3.94570631910327	2.7405331859719	0.388919093923865	3.44533767762799	2.07814084956596
GTEX-111FC	-22.0639024715277	17.5846736844359	-12.298078201422	3.20722383346973	3.93151892731745	-0.189572228723066	0.316399201540064	9.49322464975666	4.66137279625514	1.64033802286879	2.58479896345636	-0.568262203652949	-2.76526099163014	0.144236113349529	5.38367891531081	1.39890880891778	2.22473080314678	0.866035795433703	0.349840617485754	-1.76508973361373	5.23103744629995	-2.46968990864868	-2.32698353499229	1.10017842748396	0.0455749144864495	-3.34909732102011	-0.11370162924784	2.93001670652908	1.58654302998468	-0.336523790706526	-0.444870675436737	-0.122807052868134	3.20210803074496	0.202521239862382	2.88284578396877	0.0353631823666101	-4.65846026528336	-1.21497519212505	4.57153462635675	0.44193494526048
GTEX-111VG	-19.9891427827099	5.92477357501981	5.94578200226798	15.1942816732822	-0.960582655755623	1.49885827648609	-1.64780395834348	-7.42204752001669	0.597650144242685	6.2055157135258	4.92421184922661	-3.83395886687346	-3.48598946746238	1.65274993712481	-3.97047237745648	0.326420326727382	4.69387663192743	-4.99126808394965	0.191799679993315	3.19439403984492	3.6121432491273	-2.17043949665889	-1.28170155014605	-4.23416799261571	-0.299868685051265	4.87360747450271	5.77078220610811	-5.1911489117696	3.96830417703597	0.419724269096885	0.026838514130644	2.90245618515726	3.04699898942276	0.564688330194427	4.28829133277866	-0.168435049710037	4.53733319027745	-0.768440613016996	3.68836102711948	2.77584796976436
GTEX-111YS	26.4906079333927	3.5229791151775	2.63452619075355	-8.41897381890404	11.7957030569344	-4.88473715230922	-3.95179489977868	3.88811103146655	-3.16428440165596	-2.2813575245164	0.36071783634843	0.120810901849576	-2.93363320344963	-6.96895303920137	-2.86754699136472	-0.590939482991953	4.5183389003609	-1.80327025267382	-5.60703369584853	-3.02562784528969	2.91782821450462	-1.72436401422837	-2.3680712058588	-1.07446246436038	2.7518171605621	-3.35621905201874	2.8055758218167	1.80270361187929	0.162569464963359	-1.0787892890175	-0.338227164855508	0.902408283912933	0.269438466664631	-0.08885436711779	1.74968204163393	2.34522848857662	0.816669266253596	-2.82729149988534	1.0818967966509	1.85658239503409
GTEX-1122O	25.5387013461631	10.4500634792898	-0.933475059758256	-3.96992716989907	-3.33710370855803	-5.15843293357463	0.685182154857264	4.58467105543149	3.2488002767491	2.7612462024224	1.59372443180062	0.249641394314354	-5.40267295327794	-2.93107050440156	-5.37532269280679	2.1857340667052	4.35316761733961	-0.023820094586621	2.20963024581713	1.22929431433989	1.07108249295839	-2.98001642252307	-3.84731127013442	-0.968828685759002	0.744740027777187	-3.16120131382579	-1.26509730567266	1.15985314427938	3.50629947500035	-2.38260674662852	-2.74185871372498	1.83019124410691	-0.290823403008216	-4.08876821785246	1.29791900609262	2.42250136063809	1.64997498324423	-3.10040502923293	-1.14815848654591	-0.484302018323715
GTEX-1128S	-6.34730983200417	-16.8524342125954	2.7760093276834	-6.88715590546665	0.726742959376518	1.01443358168048	4.98144314439023	0.878270529366916	-0.915766714899381	1.81453158960963	-2.11402038834829	-4.9099110893008	-2.30269809387593	0.356973159831647	0.0934596329990258	2.71016730103024	3.82686470568782	2.21970692669193	1.54172954656555	0.709427763615595	5.35461898530477	-4.11394344119991	1.9811361460721	0.415852674020237	2.25770589540645	-0.304824698892811	0.766456569616872	-2.34495650477851	3.20733887633118	0.763403218730117	0.395796434887891	0.327608872705747	1.04994468589381	-5.25280706619967	1.52756692503529	4.5576987057923	-1.8455811243706	1.23695977512466	-1.91921799309788	1.04342265963989
GTEX-113JC	-17.2953096186659	-12.0504818330089	29.7505192382658	-1.35509248870584	20.6910451808033	-10.9871022685237	-4.06265591460027	1.75143730984612	-12.3638167988788	0.704493360420925	-2.04176824029619	-4.05363460571235	-7.16491876927447	3.29684586620433	-4.6161790863473	-2.81685642873428	3.41465609948981	1.99606512998494	1.57214163589474	-3.55865064273522	2.76181880271715	0.885783124150023	1.97316122765086	4.60103552878954	-0.342254112191564	-2.2798251157509	0.887690865546172	2.86679010720607	-0.246349467931783	-3.06680840731637	-5.74422313024657	2.08722449443244	0.125130940491112	-3.18674107409784	0.753843854842201	7.3430158661905	0.0115636007833235	-4.12179569434846	-1.7288505403655	-3.87611826606352
GTEX-117XS	-11.9812330560226	5.9137574234569	0.86076836519762	11.856442255769	7.73441903152252	-9.82899535770877	-4.30531300549772	0.72993986460226	-5.19184164344928	-2.61132806513781	3.78600988657385	-1.97953398291282	1.06946119321891	-1.56155976576797	-2.72716797607328	-2.55782565564734	6.3327325459364	-2.46133882638617	0.867277278162549	0.180428502331611	1.87970059495236	-3.03942386330647	-1.9915251948191	-4.91727524174998	-2.78517149827137	0.905066331707624	0.329744978381713	-1.95479819941402	1.5586660638199	2.25754960886334	-1.50218539435407	1.66433052203394	0.783077356005818	0.821382996464507	2.90198678049942	0.774358723969054	1.22598641993797	-0.847462470156512	0.602807298471232	1.22436731192042
GTEX-117YW	-24.0492855914676	2.12590651621862	13.6685129513436	11.508308035957	5.31240399230946	-4.99098632634572	-0.169317562084922	-1.99543286117737	-8.6917868275555	3.56591282134263	2.45747293198441	0.716433705485522	-5.8998948582566	-3.80088898457802	-5.92176001501554	1.52007344655767	5.48710588958358	-0.18503315851338	0.391527902572644	7.67730385766737	-2.68757383690231	-1.85926580713746	0.396069049872262	-3.10215184701762	-1.12434709012729	3.30694254825872	2.19146424768404	2.2989810196285	0.146864237366289	-2.25814207943224	-0.230820957475495	-2.06915048718086	-3.37206750444158	0.0854702882486783	-0.840002489492359	0.713587997675478	1.25132359148891	-1.86336779705401	-0.353704003478977	0.0573040099543674
GTEX-1192W	-19.4603552225219	10.5460251592598	7.33642149822191	5.34144155837664	-2.11623858541605	5.5919203777381	9.85365399506041	-1.65755289360671	-3.45396483156978	0.0635959677477245	2.72767099508499	-0.251374409962038	0.757676549136129	-3.70973992067715	-6.77666337279647	0.240684296704471	7.46995136256729	-3.35374243982227	-1.97270904689604	1.1257532956653	4.87214684132657	-4.87329893122351	1.26045585838052	1.3710396673624	-0.12955342838892	-2.42625293047942	1.53811798945855	0.809013518403209	-0.879132083388789	3.02900892253783	-0.455800638102035	4.20857654556319	-0.0189850397774108	0.690229571032481	3.15617836201701	3.87026989401457	-3.25767649004368	-1.24329590684198	1.08314086323435	2.32746539912502
